,vehicleid,recievetime
0,EW1,1709161139.761445
1,EW1,1709161139.7668808
2,EW1,1709161139.7727299
3,EW1,1709161139.7825916
4,EW1,1709161139.7882738
5,EW1,1709161139.7967074
6,EW1,1709161139.803022
7,EW1,1709161139.8083572
8,EW1,1709161139.8130164
9,EW1,1709161139.822235
10,EW1,1709161139.8335092
11,EW1,1709161139.8382585
12,EW1,1709161139.845002
13,EW1,1709161139.8540545
14,EW1,1709161139.865189
15,EW1,1709161139.8744571
16,EW1,1709161139.8872354
17,EW1,1709161139.8982623
18,EW1,1709161139.907439
19,EW1,1709161139.9259298
20,EW1,1709161139.939543
21,EW1,1709161139.9476805
22,EW1,1709161139.9549932
23,EW1,1709161139.974697
24,EW1,1709161139.9839277
25,EW1,1709161139.9915433
26,EW1,1709161140.0021086
27,EW1,1709161140.0078046
28,EW1,1709161140.0236783
29,EW1,1709161140.030213
30,EW1,1709161140.0401983
31,EW1,1709161140.0448425
32,EW1,1709161140.049939
33,EW1,1709161140.0576944
34,EW1,1709161140.073813
35,EW1,1709161140.080496
36,EW1,1709161140.0848646
37,EW1,1709161140.0893075
38,EW1,1709161140.094681
39,EW1,1709161140.099159
40,EW1,1709161140.1033514
41,EW1,1709161140.1075327
42,EW1,1709161140.1122594
43,EW1,1709161140.1177318
44,EW1,1709161140.1290884
45,EW1,1709161140.1394937
46,EW1,1709161140.148875
47,EW1,1709161140.1549675
48,EW1,1709161140.1605194
49,EW1,1709161140.1674707
50,EW1,1709161140.1739337
51,EW1,1709161140.180097
52,EW1,1709161140.1888835
53,EW1,1709161140.1961715
54,EW1,1709161140.2016745
55,EW1,1709161140.2074685
56,EW1,1709161140.2163267
57,EW1,1709161140.2234566
58,EW1,1709161140.2314267
59,EW1,1709161140.2386286
60,EW1,1709161140.2458456
61,EW1,1709161140.250391
62,EW1,1709161140.2587075
63,EW1,1709161140.2648926
64,EW1,1709161140.2786458
65,EW1,1709161140.2867448
66,EW1,1709161140.305676
67,EW1,1709161140.3103817
68,EW1,1709161140.3203466
69,EW1,1709161140.328079
70,EW1,1709161140.3378997
71,EW1,1709161140.3486264
72,EW1,1709161140.3541462
73,EW1,1709161140.364415
74,EW1,1709161140.3887508
75,EW1,1709161140.397157
76,EW1,1709161140.408568
77,EW1,1709161140.426383
78,EW1,1709161140.4570863
79,EW1,1709161140.4754522
80,EW1,1709161140.4888191
81,EW1,1709161140.4982228
82,EW1,1709161140.5049844
83,EW1,1709161140.513233
84,EW1,1709161140.5210786
85,EW1,1709161140.5291069
86,EW1,1709161140.536695
87,EW1,1709161140.549485
88,EW1,1709161140.555611
89,EW1,1709161140.5660267
90,EW1,1709161140.5730126
91,EW1,1709161140.5828366
92,EW1,1709161140.5905652
93,EW1,1709161140.5997224
94,EW1,1709161140.6058936
95,EW1,1709161140.6142097
96,EW1,1709161140.6204257
97,EW1,1709161140.626437
98,EW1,1709161140.6334286
99,EW1,1709161140.6588337
100,EW1,1709161140.6657715
101,EW1,1709161140.6716938
102,EW1,1709161140.6766694
103,EW1,1709161140.682041
104,EW1,1709161140.6902418
105,EW1,1709161140.6972303
106,EW1,1709161140.7145452
107,EW1,1709161140.7250142
108,EW1,1709161140.7342658
109,EW1,1709161140.755149
110,EW1,1709161140.7649796
111,EW1,1709161140.7721024
112,EW1,1709161140.7795618
113,EW1,1709161140.7840896
114,EW1,1709161140.7887444
115,EW1,1709161140.8018568
116,EW1,1709161140.8092203
117,EW1,1709161140.8172898
118,EW1,1709161140.8253026
119,EW1,1709161140.8443234
120,EW1,1709161140.8535707
121,EW1,1709161140.8616307
122,EW1,1709161140.8762362
123,EW1,1709161140.8859494
124,EW1,1709161140.895575
125,EW1,1709161140.9028878
126,EW1,1709161140.9190536
127,EW1,1709161140.92761
128,EW1,1709161140.9379961
129,EW1,1709161140.9510975
130,EW1,1709161140.957362
131,EW1,1709161140.9662864
132,EW1,1709161140.9714048
133,EW1,1709161140.9803717
134,EW1,1709161140.9915025
135,EW1,1709161140.9992924
136,EW1,1709161141.0066454
137,EW1,1709161141.0124393
138,EW1,1709161141.0196078
139,EW1,1709161141.0262136
140,EW1,1709161141.0324175
141,EW1,1709161141.0495434
142,EW1,1709161141.0542655
143,EW1,1709161141.0621622
144,EW1,1709161141.0673149
145,EW1,1709161141.0724506
146,EW1,1709161141.0811622
147,EW1,1709161141.08782
148,EW1,1709161141.0947492
149,EW1,1709161141.1000617
150,EW1,1709161141.1052883
151,EW1,1709161141.1118987
152,EW1,1709161141.1170194
153,EW1,1709161141.1238668
154,EW1,1709161141.131635
155,EW1,1709161141.141248
156,EW1,1709161141.1494114
157,EW1,1709161141.1585662
158,EW1,1709161141.1690025
159,EW1,1709161141.1753268
160,EW1,1709161141.181239
161,EW1,1709161141.1861413
162,EW1,1709161141.1953938
163,EW1,1709161141.2013102
164,EW1,1709161141.210836
165,EW1,1709161141.2187047
166,EW1,1709161141.2238421
167,EW1,1709161141.2314873
168,EW1,1709161141.2393003
169,EW1,1709161141.245838
170,EW1,1709161141.2540753
171,EW1,1709161141.262781
172,EW1,1709161141.267624
173,EW1,1709161141.2835104
174,EW1,1709161141.2932293
175,EW1,1709161141.3015983
176,EW1,1709161141.3102536
177,EW1,1709161141.3155913
178,EW1,1709161141.3247576
179,EW1,1709161141.3401814
180,EW1,1709161141.3497086
181,EW1,1709161141.3569732
182,EW1,1709161141.368463
183,EW1,1709161141.374391
184,EW1,1709161141.381568
185,EW1,1709161141.3892903
186,EW1,1709161141.4067175
