,vehicleid,recievetime
0,EW1,1709832117.9984012
1,EW1,1709832118.01423
2,EW1,1709832118.0372
3,EW1,1709832118.0517504
4,EW1,1709832118.0682116
5,EW1,1709832118.0731587
6,EW1,1709832118.0775752
7,EW1,1709832118.087512
8,EW1,1709832118.0922937
9,EW1,1709832118.0994744
10,EW1,1709832118.1082463
11,EW1,1709832118.1132874
12,EW1,1709832118.1189368
13,EW1,1709832118.125511
14,EW1,1709832118.1297042
15,EW1,1709832118.1344302
16,EW1,1709832118.139222
17,EW1,1709832118.1466079
18,EW1,1709832118.152171
19,EW1,1709832118.1567376
20,EW1,1709832118.1612058
21,EW1,1709832118.1670232
22,EW1,1709832118.172042
23,EW1,1709832118.1774175
24,EW1,1709832118.1821036
25,EW1,1709832118.1927238
26,EW1,1709832118.1976285
27,EW1,1709832118.213938
28,EW1,1709832118.2237568
29,EW1,1709832118.2317102
30,EW1,1709832118.2383006
31,EW1,1709832118.2688775
32,EW1,1709832118.2770476
33,EW1,1709832118.2847319
34,EW1,1709832118.2913992
35,EW1,1709832118.2978408
36,EW1,1709832118.3105483
37,EW1,1709832118.3250117
38,EW1,1709832118.3303607
39,EW1,1709832118.3348336
40,EW1,1709832118.3465161
41,EW1,1709832118.357625
42,EW1,1709832118.365026
43,EW1,1709832118.3763607
44,EW1,1709832118.3889608
45,EW1,1709832118.4038277
46,EW1,1709832118.418331
47,EW1,1709832118.4257474
48,EW1,1709832118.4323657
49,EW1,1709832118.4385216
50,EW1,1709832118.4447806
51,EW1,1709832118.4506626
52,EW1,1709832118.4574316
53,EW1,1709832118.4628868
54,EW1,1709832118.4760327
55,EW1,1709832118.482136
56,EW1,1709832118.4874945
57,EW1,1709832118.4938023
58,EW1,1709832118.4999273
59,EW1,1709832118.5058923
60,EW1,1709832118.511869
61,EW1,1709832118.517334
62,EW1,1709832118.523732
63,EW1,1709832118.5321968
64,EW1,1709832118.54035
65,EW1,1709832118.5456398
66,EW1,1709832118.5555015
67,EW1,1709832118.5621197
68,EW1,1709832118.5681098
69,EW1,1709832118.5748231
70,EW1,1709832118.5807354
71,EW1,1709832118.5885706
72,EW1,1709832118.5998156
73,EW1,1709832118.6044965
74,EW1,1709832118.611902
75,EW1,1709832118.617801
76,EW1,1709832118.625423
77,EW1,1709832118.6329546
78,EW1,1709832118.638583
79,EW1,1709832118.6441975
80,EW1,1709832118.6504855
81,EW1,1709832118.6562512
82,EW1,1709832118.662005
83,EW1,1709832118.6692526
84,EW1,1709832118.6774561
85,EW1,1709832118.6906376
86,EW1,1709832118.7019231
87,EW1,1709832118.7148066
88,EW1,1709832118.729186
89,EW1,1709832118.7410593
90,EW1,1709832118.7502189
91,EW1,1709832118.7625415
92,EW1,1709832118.7694077
93,EW1,1709832118.7955954
94,EW1,1709832118.8001842
95,EW1,1709832118.8103888
96,EW1,1709832118.8349671
97,EW1,1709832118.840029
98,EW1,1709832118.8506243
99,EW1,1709832118.8733456
100,EW1,1709832118.8777096
101,EW1,1709832118.8821719
102,EW1,1709832118.8864846
103,EW1,1709832118.8959916
104,EW1,1709832118.9012952
105,EW1,1709832118.9072042
106,EW1,1709832118.9147592
107,EW1,1709832118.9184508
108,EW1,1709832118.922504
109,EW1,1709832118.9268975
110,EW1,1709832118.931729
111,EW1,1709832118.9459207
112,EW1,1709832118.951635
113,EW1,1709832118.9561882
114,EW1,1709832118.9604874
115,EW1,1709832118.9651015
116,EW1,1709832118.9742937
117,EW1,1709832118.9822116
118,EW1,1709832118.9875672
119,EW1,1709832118.9925334
120,EW1,1709832119.000346
121,EW1,1709832119.0096364
122,EW1,1709832119.0182846
123,EW1,1709832119.026195
124,EW1,1709832119.03655
125,EW1,1709832119.0446975
126,EW1,1709832119.0602088
127,EW1,1709832119.0681546
128,EW1,1709832119.0762765
129,EW1,1709832119.0829797
130,EW1,1709832119.089876
131,EW1,1709832119.0968292
132,EW1,1709832119.102829
133,EW1,1709832119.1097424
134,EW1,1709832119.117583
135,EW1,1709832119.1245415
136,EW1,1709832119.1328118
137,EW1,1709832119.1394906
138,EW1,1709832119.1457753
139,EW1,1709832119.1511457
140,EW1,1709832119.1576638
141,EW1,1709832119.1635432
142,EW1,1709832119.1703289
143,EW1,1709832119.1771064
144,EW1,1709832119.1859174
145,EW1,1709832119.1924078
146,EW1,1709832119.1985219
147,EW1,1709832119.2051451
148,EW1,1709832119.2112825
149,EW1,1709832119.2173924
150,EW1,1709832119.2281797
151,EW1,1709832119.2406213
152,EW1,1709832119.248557
153,EW1,1709832119.260133
154,EW1,1709832119.268725
155,EW1,1709832119.2750626
156,EW1,1709832119.2813427
157,EW1,1709832119.2879589
158,EW1,1709832119.2939248
159,EW1,1709832119.3006146
160,EW1,1709832119.3066225
161,EW1,1709832119.3210745
162,EW1,1709832119.3257587
163,EW1,1709832119.330282
164,EW1,1709832119.333876
165,EW1,1709832119.3377802
166,EW1,1709832119.344082
167,EW1,1709832119.3500166
168,EW1,1709832119.3555079
169,EW1,1709832119.3594127
170,EW1,1709832119.3648717
171,EW1,1709832119.3700664
172,EW1,1709832119.3763878
173,EW1,1709832119.386631
174,EW1,1709832119.394714
175,EW1,1709832119.400914
176,EW1,1709832119.4066448
177,EW1,1709832119.4123554
178,EW1,1709832119.4222922
179,EW1,1709832119.4305573
180,EW1,1709832119.4406714
181,EW1,1709832119.4496117
182,EW1,1709832119.4685028
183,EW1,1709832119.4759133
184,EW1,1709832119.4801319
185,EW1,1709832119.4871979
186,EW1,1709832119.4926229
187,EW1,1709832119.4996753
188,EW1,1709832119.5080495
189,EW1,1709832119.5154874
190,EW1,1709832119.520208
191,EW1,1709832119.5282276
192,EW1,1709832119.5379953
193,EW1,1709832119.5532157
194,EW1,1709832119.564665
195,EW1,1709832119.5799801
196,EW1,1709832119.590958
197,EW1,1709832119.6030257
198,EW1,1709832119.612254
199,EW1,1709832119.6218605
200,EW1,1709832119.6358259
201,EW1,1709832119.642426
202,EW1,1709832119.6486151
203,EW1,1709832119.6547084
204,EW1,1709832119.6625812
205,EW1,1709832119.6686666
206,EW1,1709832119.6749449
207,EW1,1709832119.678493
208,EW1,1709832119.6858034
209,EW1,1709832119.7020297
210,EW1,1709832119.7063081
211,EW1,1709832119.71093
212,EW1,1709832119.7225566
213,EW1,1709832119.7279394
214,EW1,1709832119.7383084
215,EW1,1709832119.7496269
216,EW1,1709832119.7573724
217,EW1,1709832119.7719328
218,EW1,1709832119.7826757
219,EW1,1709832119.7964156
220,EW1,1709832119.8088505
221,EW1,1709832119.8225694
222,EW1,1709832119.8369846
223,EW1,1709832119.8432992
224,EW1,1709832119.8509943
225,EW1,1709832119.8603487
226,EW1,1709832119.8727915
227,EW1,1709832119.8850865
228,EW1,1709832119.8948781
229,EW1,1709832119.901233
230,EW1,1709832119.9127684
231,EW1,1709832119.9360685
232,EW1,1709832119.9445665
233,EW1,1709832119.951944
234,EW1,1709832119.9579844
235,EW1,1709832119.963675
236,EW1,1709832119.969828
237,EW1,1709832119.9790723
238,EW1,1709832119.9866722
239,EW1,1709832119.9952478
240,EW1,1709832120.000836
241,EW1,1709832120.0070462
242,EW1,1709832120.0239666
243,EW1,1709832120.0334275
244,EW1,1709832120.042014
245,EW1,1709832120.0516462
246,EW1,1709832120.062279
247,EW1,1709832120.0724735
248,EW1,1709832120.076591
249,EW1,1709832120.086349
250,EW1,1709832120.0988226
251,EW1,1709832120.1040606
252,EW1,1709832120.110506
253,EW1,1709832120.1175306
254,EW1,1709832120.1224973
255,EW1,1709832120.1442397
256,EW1,1709832120.150888
257,EW1,1709832120.1591494
258,EW1,1709832120.1786897
259,EW1,1709832120.1836157
260,EW1,1709832120.1959572
261,EW1,1709832120.203228
262,EW1,1709832120.2240307
263,EW1,1709832120.2315402
264,EW1,1709832120.240541
265,EW1,1709832120.2459605
266,EW1,1709832120.2559144
267,EW1,1709832120.305215
268,EW1,1709832120.312748
269,EW1,1709832120.3231993
270,EW1,1709832120.3301184
271,EW1,1709832120.3375545
272,EW1,1709832120.3489788
273,EW1,1709832120.3573477
274,EW1,1709832120.373757
275,EW1,1709832120.3815567
276,EW1,1709832120.3879194
277,EW1,1709832120.3933532
278,EW1,1709832120.4004154
279,EW1,1709832120.4071667
280,EW1,1709832120.4116304
281,EW1,1709832120.4205775
282,EW1,1709832120.4292843
283,EW1,1709832120.4374824
284,EW1,1709832120.4433446
285,EW1,1709832120.4550638
286,EW1,1709832120.4616785
287,EW1,1709832120.469271
288,EW1,1709832120.4756165
289,EW1,1709832120.4908345
290,EW1,1709832120.49591
291,EW1,1709832120.5005138
292,EW1,1709832120.5061126
293,EW1,1709832120.513624
294,EW1,1709832120.5189755
295,EW1,1709832120.5266376
296,EW1,1709832120.5328348
297,EW1,1709832120.5376298
298,EW1,1709832120.5650725
299,EW1,1709832120.575923
300,EW1,1709832120.581931
301,EW1,1709832120.5872102
302,EW1,1709832120.609991
303,EW1,1709832120.616364
304,EW1,1709832120.6205547
305,EW1,1709832120.6247883
306,EW1,1709832120.6294615
307,EW1,1709832120.6466837
308,EW1,1709832120.6684022
309,EW1,1709832120.6749563
310,EW1,1709832120.6858575
311,EW1,1709832120.705388
312,EW1,1709832120.7184963
313,EW1,1709832120.7326365
314,EW1,1709832120.7651
315,EW1,1709832120.7720773
316,EW1,1709832120.7863927
317,EW1,1709832120.7982073
318,EW1,1709832120.807191
319,EW1,1709832120.815786
320,EW1,1709832120.8248215
321,EW1,1709832120.8339777
322,EW1,1709832120.83827
323,EW1,1709832120.8429854
324,EW1,1709832120.8495903
325,EW1,1709832120.8535287
326,EW1,1709832120.8579128
327,EW1,1709832120.8651848
328,EW1,1709832120.8694065
329,EW1,1709832120.8736348
330,EW1,1709832120.8833838
331,EW1,1709832120.8955982
332,EW1,1709832120.900835
333,EW1,1709832120.906889
334,EW1,1709832120.9131434
335,EW1,1709832120.9249272
336,EW1,1709832120.9306686
337,EW1,1709832120.9406376
338,EW1,1709832120.946016
339,EW1,1709832120.9534023
340,EW1,1709832120.9597394
341,EW1,1709832120.9654188
342,EW1,1709832120.9705575
343,SN1,1709832120.9846013
344,EW1,1709832120.9981935
345,SN1,1709832121.0015872
346,EW1,1709832121.0056057
347,SN1,1709832121.012438
348,EW1,1709832121.0173025
349,SN1,1709832121.0215771
350,EW1,1709832121.03109
351,SN1,1709832121.0376098
352,EW1,1709832121.0412333
353,SN1,1709832121.0459542
354,EW1,1709832121.0569246
355,SN1,1709832121.062221
356,EW1,1709832121.0699224
357,SN1,1709832121.0745134
358,EW1,1709832121.07978
359,SN1,1709832121.0855742
360,EW1,1709832121.0898232
361,SN1,1709832121.0938852
362,EW1,1709832121.097197
363,SN1,1709832121.1015239
364,EW1,1709832121.1057532
365,EW1,1709832121.1100254
366,SN1,1709832121.1151626
367,EW1,1709832121.1197753
368,SN1,1709832121.1245368
369,EW1,1709832121.1302254
370,SN1,1709832121.142565
371,EW1,1709832121.1506214
372,SN1,1709832121.157422
373,EW1,1709832121.1627448
374,SN1,1709832121.1692455
375,EW1,1709832121.180007
376,SN1,1709832121.1869237
377,EW1,1709832121.2042677
378,SN1,1709832121.212384
379,EW1,1709832121.2257054
380,SN1,1709832121.2361927
381,SN1,1709832121.242287
382,EW1,1709832121.251769
383,SN1,1709832121.27274
384,EW1,1709832121.27886
385,SN1,1709832121.284111
386,EW1,1709832121.293504
387,SN1,1709832121.3001237
388,EW1,1709832121.3096116
389,EW1,1709832121.3170955
390,SN1,1709832121.3244565
391,SN1,1709832121.3333488
392,EW1,1709832121.341005
393,EW1,1709832121.351617
394,SN1,1709832121.3573337
395,SN1,1709832121.3636577
396,EW1,1709832121.3718321
397,SN1,1709832121.3770235
398,EW1,1709832121.3840399
399,SN1,1709832121.3902435
400,EW1,1709832121.396388
401,SN1,1709832121.4016914
402,EW1,1709832121.4069536
403,SN1,1709832121.4120991
404,EW1,1709832121.4172237
405,SN1,1709832121.423463
406,EW1,1709832121.428015
407,SN1,1709832121.4386852
408,EW1,1709832121.4445977
409,SN1,1709832121.4504218
410,EW1,1709832121.4609096
411,SN1,1709832121.465964
412,EW1,1709832121.4714437
413,SN1,1709832121.478563
414,EW1,1709832121.4837923
415,SN1,1709832121.493197
416,EW1,1709832121.5002332
417,SN1,1709832121.5051837
418,EW1,1709832121.509917
419,SN1,1709832121.5154972
420,EW1,1709832121.5206773
421,EW1,1709832121.5304525
422,SN1,1709832121.535054
423,SN1,1709832121.5393043
424,EW1,1709832121.54455
425,EW1,1709832121.5518336
426,SN1,1709832121.5561864
427,SN1,1709832121.5643125
428,EW1,1709832121.570793
429,SN1,1709832121.5767267
430,EW1,1709832121.5836575
431,EW1,1709832121.588448
432,SN1,1709832121.593129
433,SN1,1709832121.598052
434,EW1,1709832121.6058455
435,SN1,1709832121.610312
436,EW1,1709832121.6162045
437,SN1,1709832121.6224377
438,EW1,1709832121.627335
439,SN1,1709832121.6325634
440,EW1,1709832121.6371443
441,SN1,1709832121.6414216
442,EW1,1709832121.6463637
443,SN1,1709832121.6510699
444,EW1,1709832121.6555233
445,SN1,1709832121.6622124
446,EW1,1709832121.668617
447,SN1,1709832121.675204
448,EW1,1709832121.6807687
449,EW1,1709832121.686041
450,SN1,1709832121.6910188
451,SN1,1709832121.6972678
452,EW1,1709832121.702059
453,EW1,1709832121.70771
454,SN1,1709832121.7167647
455,SN1,1709832121.723375
456,EW1,1709832121.728275
457,SN1,1709832121.7345927
458,EW1,1709832121.7375393
459,SN1,1709832121.7501972
460,EW1,1709832121.7560778
461,EW1,1709832121.7603788
462,EW1,1709832121.764641
463,SN1,1709832121.7686965
464,SN1,1709832121.7757812
465,EW1,1709832121.780561
466,SN1,1709832121.7864692
467,EW1,1709832121.7918181
468,SN1,1709832121.7973135
469,EW1,1709832121.801478
470,SN1,1709832121.805938
471,SN1,1709832121.8099
472,EW1,1709832121.8145864
473,EW1,1709832121.818743
474,SN1,1709832121.8228245
475,EW1,1709832121.8276932
476,SN1,1709832121.832371
477,SN1,1709832121.836878
478,EW1,1709832121.8456478
479,SN1,1709832121.8524666
480,EW1,1709832121.857714
481,EW1,1709832121.8632665
482,SN1,1709832121.869303
483,SN1,1709832121.8898616
484,EW1,1709832121.894818
485,SN1,1709832121.8997958
486,EW1,1709832121.9042206
487,SN1,1709832121.9083915
488,EW1,1709832121.9137268
489,SN1,1709832121.9350665
490,EW1,1709832121.940317
491,EW1,1709832121.9517758
492,SN1,1709832121.9596019
493,EW1,1709832121.9650593
494,SN1,1709832121.9692485
495,EW1,1709832121.9737158
496,SN1,1709832121.9819381
497,EW1,1709832121.9865904
498,SN1,1709832121.9926016
499,EW1,1709832121.999084
500,SN1,1709832122.0042214
501,SN1,1709832122.010146
502,EW1,1709832122.0150826
503,EW1,1709832122.0193632
504,SN1,1709832122.0238647
505,EW1,1709832122.0285254
506,SN1,1709832122.033002
507,EW1,1709832122.0374136
508,SN1,1709832122.0411282
509,EW1,1709832122.0544887
510,SN1,1709832122.0593185
511,SN1,1709832122.067755
512,EW1,1709832122.071019
513,SN1,1709832122.0752497
514,EW1,1709832122.0797453
515,EW1,1709832122.084401
516,SN1,1709832122.0886679
517,EW1,1709832122.0928435
518,EW1,1709832122.0969515
519,SN1,1709832122.1026254
520,EW1,1709832122.107054
521,SN1,1709832122.1111581
522,EW1,1709832122.115875
523,SN1,1709832122.123195
524,EW1,1709832122.1297033
525,SN1,1709832122.1340826
526,EW1,1709832122.1378653
527,SN1,1709832122.149615
528,EW1,1709832122.1539865
529,SN1,1709832122.1631486
530,EW1,1709832122.1707804
531,SN1,1709832122.1776896
532,EW1,1709832122.182791
533,EW1,1709832122.189707
534,EW1,1709832122.2018292
535,EW1,1709832122.2076912
536,SN1,1709832122.213008
537,EW1,1709832122.2194006
538,SN1,1709832122.2246468
539,SN1,1709832122.2294092
540,EW1,1709832122.233943
541,SN1,1709832122.239948
542,EW1,1709832122.2481995
543,EW1,1709832122.2524695
544,SN1,1709832122.257599
545,SN1,1709832122.2637591
546,EW1,1709832122.2682414
547,SN1,1709832122.2733593
548,SN1,1709832122.278832
549,SN1,1709832122.2860768
550,EW1,1709832122.2914357
551,SN1,1709832122.2965987
552,EW1,1709832122.3037696
553,EW1,1709832122.3088603
554,SN1,1709832122.3149035
555,EW1,1709832122.3231747
556,EW1,1709832122.3349464
557,EW1,1709832122.3396635
558,SN1,1709832122.3454525
559,EW1,1709832122.3500965
560,SN1,1709832122.3546402
561,SN1,1709832122.3589053
562,EW1,1709832122.3641455
563,EW1,1709832122.3686454
564,EW1,1709832122.3732128
565,SN1,1709832122.3765676
566,EW1,1709832122.3813787
567,SN1,1709832122.3858254
568,EW1,1709832122.3902128
569,SN1,1709832122.3945196
570,EW1,1709832122.3991446
571,SN1,1709832122.403706
572,EW1,1709832122.4086733
573,SN1,1709832122.4162824
574,SN1,1709832122.42122
575,EW1,1709832122.426155
576,EW1,1709832122.4319339
577,SN1,1709832122.436671
578,SN1,1709832122.4412296
579,EW1,1709832122.447893
580,SN1,1709832122.452659
581,EW1,1709832122.4571602
582,SN1,1709832122.462191
583,EW1,1709832122.466028
584,SN1,1709832122.4694285
585,EW1,1709832122.4737377
586,SN1,1709832122.4773793
587,EW1,1709832122.4821851
588,SN1,1709832122.4871712
589,EW1,1709832122.49219
590,SN1,1709832122.4967911
591,EW1,1709832122.5011923
592,SN1,1709832122.505734
593,EW1,1709832122.5102623
594,SN1,1709832122.5149903
595,EW1,1709832122.5195282
596,EW1,1709832122.5243413
597,EW1,1709832122.5289237
598,EW1,1709832122.533321
599,SN1,1709832122.5380187
600,EW1,1709832122.5441217
601,SN1,1709832122.548795
602,SN1,1709832122.555228
603,EW1,1709832122.5597358
604,EW1,1709832122.5645936
605,SN1,1709832122.5691526
606,SN1,1709832122.574783
607,SN1,1709832122.5807548
608,EW1,1709832122.5853977
609,EW1,1709832122.5898514
610,EW1,1709832122.5944664
611,SN1,1709832122.6007373
612,EW1,1709832122.60562
613,SN1,1709832122.6165767
614,EW1,1709832122.6215744
615,SN1,1709832122.6270313
616,SN1,1709832122.6330276
617,SN1,1709832122.637072
618,EW1,1709832122.6409736
619,EW1,1709832122.6463
620,SN1,1709832122.6515052
621,SN1,1709832122.65582
622,SN1,1709832122.659943
623,SN1,1709832122.6652093
624,EW1,1709832122.6700716
625,SN1,1709832122.6746695
626,EW1,1709832122.6818678
627,EW1,1709832122.6873353
628,EW1,1709832122.692108
629,SN1,1709832122.6982164
630,SN1,1709832122.7035575
631,EW1,1709832122.7082627
632,EW1,1709832122.7143009
633,SN1,1709832122.7188199
634,SN1,1709832122.7234836
635,EW1,1709832122.7282808
636,SN1,1709832122.732906
637,SN1,1709832122.7386918
638,SN1,1709832122.7429068
639,EW1,1709832122.7481384
640,SN1,1709832122.7528214
641,EW1,1709832122.7573068
642,SN1,1709832122.7624676
643,EW1,1709832122.7671616
644,EW1,1709832122.771965
645,EW1,1709832122.7768638
646,EW1,1709832122.7825038
647,SN1,1709832122.7854443
648,EW1,1709832122.7890718
