,vehicleid,transtime
0,NE00,1709632408.6523986
1,NE00,1709632408.9371397
2,NE00,1709632409.2282836
3,NE00,1709632409.5363605
4,SW01,1709632409.827648
5,NE00,1709632410.1049824
6,SW01,1709632410.1326525
7,NE00,1709632410.1524189
8,SW01,1709632410.425447
9,NE00,1709632410.443082
10,SW01,1709632410.7289436
11,NE00,1709632410.759576
12,SW01,1709632411.0223012
13,NE00,1709632411.037582
14,SW01,1709632411.3248787
15,NE00,1709632411.3457415
16,SW01,1709632411.6220253
17,NE00,1709632411.6425686
18,SW01,1709632411.9204445
19,NE00,1709632411.9416573
20,SW01,1709632412.223129
21,NE00,1709632412.2415473
22,SW01,1709632412.5215898
23,NE00,1709632412.538065
24,EN12,1709632412.8224063
25,SW01,1709632412.8339825
26,NE00,1709632412.8510432
27,EN12,1709632413.115703
28,SW01,1709632413.1260068
29,NE00,1709632413.1481452
30,EN12,1709632413.4151578
31,SW01,1709632413.425423
32,NE00,1709632413.438708
33,EN12,1709632413.7218978
34,SW01,1709632413.7334216
35,NS13,1709632413.7451036
36,NE00,1709632413.7523942
37,EN12,1709632414.0223186
38,SW01,1709632414.0336246
39,NS13,1709632414.0473726
40,NS14,1709632414.056905
41,NE00,1709632414.0649903
42,EN12,1709632414.3225796
43,SW01,1709632414.3357277
44,NS13,1709632414.3497083
45,NS14,1709632414.35351
46,NE00,1709632414.3606873
47,NW15,1709632414.3686266
48,EN12,1709632414.6158085
49,SW01,1709632414.62428
50,NS13,1709632414.635243
51,NS14,1709632414.6385715
52,NE00,1709632414.6466715
53,NW15,1709632414.65429
54,EN12,1709632414.9335868
55,SW01,1709632414.9449584
56,NS13,1709632414.9588692
57,NS14,1709632414.963544
58,NE00,1709632414.9724512
59,NE06,1709632414.9765067
60,NW15,1709632414.9840264
61,WN07,1709632414.9970899
62,EN12,1709632415.2356503
63,EN19,1709632415.240245
64,SW01,1709632415.2562323
65,NS13,1709632415.2717905
66,NS14,1709632415.276784
67,NE00,1709632415.2858036
68,NE06,1709632415.2920775
69,NW15,1709632415.302106
70,WE18,1709632415.3107994
71,WN07,1709632415.3224888
72,EN12,1709632415.5223422
73,EN19,1709632415.526491
74,SW01,1709632415.5363388
75,NS13,1709632415.5476348
76,NS14,1709632415.5506945
77,NS110,1709632415.554211
78,NE00,1709632415.5668917
79,NE06,1709632415.5722544
80,NW15,1709632415.5815797
81,WE18,1709632415.5889993
82,WN07,1709632415.6154594
83,EN12,1709632415.8174334
84,EN19,1709632415.8212848
85,SW01,1709632415.8316524
86,NS13,1709632415.8438056
87,NS14,1709632415.8474417
88,NS110,1709632415.8510973
89,NE00,1709632415.86022
90,NE06,1709632415.8658836
91,NW15,1709632415.8803134
92,WE18,1709632415.8913777
93,WN07,1709632415.9023378
94,EN12,1709632416.1157515
95,EN19,1709632416.1195374
96,SW01,1709632416.1343782
97,NS13,1709632416.1525955
98,NS14,1709632416.1562793
99,NS110,1709632416.1632655
100,NE00,1709632416.1697829
101,NE06,1709632416.1735902
102,NW15,1709632416.1806288
103,WE18,1709632416.1875377
104,WN07,1709632416.1977313
105,EN12,1709632416.4174325
106,EN19,1709632416.4217587
107,SW01,1709632416.4319203
108,NS13,1709632416.444422
109,NS14,1709632416.4483626
110,NS110,1709632416.4521708
111,NE00,1709632416.4598875
112,NE06,1709632416.474578
113,NW15,1709632416.4819875
114,WE18,1709632416.488693
115,WN07,1709632416.5015938
116,EN12,1709632416.7169342
117,EN19,1709632416.7204316
118,SW01,1709632416.7344542
119,NS13,1709632416.748328
120,NS14,1709632416.75191
121,NS110,1709632416.755525
122,NE00,1709632416.7641416
123,NE06,1709632416.7675133
124,NW15,1709632416.7750258
125,WE18,1709632416.7813528
126,WN07,1709632416.7918959
127,EN12,1709632417.0158165
128,EN19,1709632417.0196226
129,SW01,1709632417.0323339
130,NS13,1709632417.0436966
131,NS14,1709632417.0484385
132,NS110,1709632417.0535414
133,NE00,1709632417.0614545
134,NE06,1709632417.0656893
135,NW15,1709632417.0718315
136,WE18,1709632417.0790174
137,WN07,1709632417.0883954
138,EN12,1709632417.3187017
139,EN19,1709632417.3225534
140,SW01,1709632417.333167
141,NS13,1709632417.346571
142,NS14,1709632417.3501348
143,NS110,1709632417.3534498
144,NS111,1709632417.357603
145,NE00,1709632417.364601
146,NE06,1709632417.3693032
147,NW15,1709632417.375159
148,WE18,1709632417.3814137
149,WN07,1709632417.387539
150,EN12,1709632417.6174455
151,EN19,1709632417.6210063
152,SW01,1709632417.631365
153,NS13,1709632417.645283
154,NS14,1709632417.649569
155,NS110,1709632417.6526341
156,NS111,1709632417.656173
157,NE00,1709632417.666559
158,NE06,1709632417.6698117
159,NW15,1709632417.677682
160,WE18,1709632417.6852913
161,WN07,1709632417.6941397
162,EN12,1709632417.9159346
163,EN19,1709632417.9201398
164,SW01,1709632417.9321983
165,NS13,1709632417.9481592
166,NS14,1709632417.9532733
167,NS110,1709632417.959326
168,NS111,1709632417.9635603
169,NE00,1709632417.9700215
170,NE06,1709632417.975789
171,NW15,1709632417.983262
172,WE18,1709632417.9926343
173,WN07,1709632418.0014718
174,EN12,1709632418.2178886
175,EN19,1709632418.2220485
176,SW01,1709632418.2333684
177,NS13,1709632418.245741
178,NS14,1709632418.2494128
179,NS110,1709632418.2533789
180,NS111,1709632418.2574053
181,NE00,1709632418.2645428
182,NE06,1709632418.2683907
183,NW15,1709632418.274509
184,WE18,1709632418.2810895
185,WN07,1709632418.2942827
186,EN12,1709632418.5161915
187,EN19,1709632418.5189657
188,SW01,1709632418.531369
189,NS13,1709632418.544329
190,NS14,1709632418.5500197
191,NS110,1709632418.5534797
192,NS111,1709632418.5569022
193,NE00,1709632418.5641403
194,NE06,1709632418.5676346
195,NW15,1709632418.573934
196,WE18,1709632418.5794587
197,WN07,1709632418.5883458
198,EN12,1709632418.820175
199,EN19,1709632418.8235266
200,SW01,1709632418.8334944
201,SE112,1709632418.8420002
202,NS13,1709632418.8470836
203,NS14,1709632418.8510034
204,NS110,1709632418.856496
205,NS111,1709632418.8602319
206,NE00,1709632418.867186
207,NE06,1709632418.8698044
208,NW15,1709632418.8782704
209,WE18,1709632418.8830345
210,WN07,1709632418.8951585
211,EN12,1709632419.1132486
212,EN19,1709632419.1179159
213,SW01,1709632419.1278732
214,SE112,1709632419.1363194
215,NS13,1709632419.1446257
216,NS14,1709632419.1482997
217,NS110,1709632419.1519892
218,NS111,1709632419.1574821
219,NE00,1709632419.1650603
220,NE06,1709632419.1685405
221,NW15,1709632419.1782525
222,WE18,1709632419.1841807
223,WN07,1709632419.1967866
224,EN12,1709632419.4229455
225,EN19,1709632419.4279015
226,SW01,1709632419.4411457
227,SE112,1709632419.4522004
228,NS13,1709632419.4623158
229,NS14,1709632419.4683402
230,NS110,1709632419.473323
231,NS111,1709632419.47799
232,NE00,1709632419.4862046
233,NE06,1709632419.4916987
234,NW15,1709632419.500024
235,WE18,1709632419.5128093
236,WN07,1709632419.5263577
237,EN12,1709632419.7164588
238,EN19,1709632419.7241297
239,SW01,1709632419.734978
240,SE112,1709632419.7485993
241,NS13,1709632419.7558625
242,NS14,1709632419.759434
243,NS110,1709632419.7636356
244,NS111,1709632419.7684731
245,NE00,1709632419.780893
246,NE06,1709632419.784986
247,NW15,1709632419.7930157
248,WE18,1709632419.7988195
249,WN07,1709632419.8077595
250,EN12,1709632420.0284884
251,EN19,1709632420.032882
252,SW01,1709632420.044047
253,SE112,1709632420.0538266
254,NS13,1709632420.0608075
255,NS14,1709632420.0646288
256,NS110,1709632420.0683358
257,NS111,1709632420.0740144
258,NE00,1709632420.0816054
259,NE06,1709632420.0850956
260,NE013,1709632420.0898604
261,NW15,1709632420.0991347
262,WE18,1709632420.1074882
263,WN07,1709632420.1180966
264,EN12,1709632420.316051
265,EN19,1709632420.324135
266,SW01,1709632420.3355293
267,SE112,1709632420.3466268
268,NS13,1709632420.3526611
